SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-0C-55-EB,802.11n/ac,-55,85,85.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:47,85,85,802.11d/e/h/i/r,No,18,13.7%,FR,,1
,84-B2-61-08-E9-39,802.11g/n,-73,60,60.0,"2,437",6,221,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:36:10,60,60,802.11d/e/i/r,No,1,54.5%,FR,,2
,84-B2-61-15-03-49,802.11g/n,-76,50,50.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:32:19,50,50,802.11d/e/i/r,No,2,48.6%,FR,,3
,B6-01-BF-A1-CC-D2,802.11g/n,-77,46,46.0,"2,437",6,206,17,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,,46,46,802.11d/h/i,No,,,FR,,
,B2-A3-BC-6C-08-53,802.11n/ac/ax,-87,22,22.0,"5,220",44,369,24,,,,WPA2-PSK + WPA3-Personal,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,,22,22,802.11d/h/i,No,,,FR,,
,84-B2-61-08-E9-36,802.11n/ac,-70,67,67.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,26/02/2025 10:30:08,67,67,802.11d/e/i/r,No,7,0.8%,FR,,2
,5C-5A-C7-0C-55-E4,802.11g/n,-64,80,80.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,9,63.9%,FR,,1
eduroam,84-B2-61-15-03-42,802.11g/n,-73,60,60.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:32:19,60,60,802.11d/e/i/r,No,0,40.0%,FR,,3
eduroam,84-B2-61-08-E9-32,802.11g/n,-78,43,43.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:36:10,43,43,802.11d/e/i/r,No,0,46.7%,FR,,2
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-65,80,80.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,26/02/2025 10:30:08,80,80,802.11d/e/i/r,No,7,1.6%,FR,,2
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-56,85,85.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:47,85,85,802.11d/e/h/i/r,No,18,13.7%,FR,,1
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-64,80,80.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:38,80,80,802.11d/e/h/i/r,No,9,63.9%,FR,,1
Galaxy S24 Ultra CA4D Micka,EA-1A-30-3E-A9-6A,802.11n/ac/ax,-88,20,20.0,"5,745",149,279,19,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,147 - 163,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,27/02/2025 19:35:55,20,20,802.11d/h/i/y,No,,,FR,,
OPPO A9 2020,9E-16-4B-28-28-A1,802.11g/n/ac,-83,31,31.0,"2,437",6,173,13,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,02/02/2025 20:18:25,31,31,802.11i/y,No,,,,,
Rrrr,1E-67-72-5B-9D-8B,802.11g/n/ax,-90,16,16.0,"2,432",5,258,19,,,,WPA2-PSK,CCMP,144 Mbps,20 MHz,3 - 7,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,14/03/2025 10:05:38,16,16,802.11d/h/i,No,,,FR,,
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-56,85,85.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:47,85,85,802.11d/e/h,No,18,13.7%,FR,,1
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-64,80,80.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 12:06:35,14/03/2025 12:06:35,1,18/07/2023 09:12:38,80,80,802.11d/e/h,No,9,63.9%,FR,,1
