SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-36-31-49,802.11g/n,-88,20,20.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:15:14,20,20,802.11d/e/h/i/r,No,18,13.7%,FR,,1
,E4-AA-5D-3E-CE-E9,802.11g/n,-80,38,38.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:32:55,38,38,802.11d/e/i/r,No,2,43.5%,FR,,4
,84-B2-61-15-36-3B,802.11n/ac,-85,26,26.0,"5,200",40,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:37:21,26,26,802.11d/e/i/r,No,6,0.8%,FR,,3
,7E-3B-E5-8D-4A-23,802.11n/ac/ax,-65,80,80.0,"5,220",44,362,23,,,,WPA2-PSK,CCMP,867 Mbps,80 MHz,34 - 50,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,,80,80,802.11d/h/i,No,,,FR,,
,5C-5A-C7-28-87-04,802.11g/n,-78,43,43.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:11:43,43,43,802.11d/e/h/i/r,No,10,72.9%,FR,,2
,5C-5A-C7-28-72-04,802.11g/n,-85,26,26.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:25:25,26,26,802.11d/e/h/i/r,No,5,40.0%,FR,,2
,5C-5A-C7-28-87-0B,802.11n/ac,-75,53,53.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:11:51,53,53,802.11d/e/h/i/r,No,13,2.7%,FR,,2
,84-B2-61-08-E9-36,802.11n/ac,-50,88,88.0,"5,240",48,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,26/02/2025 10:30:08,88,88,802.11d/e/i/r,No,21,7.1%,FR,,7
,E4-AA-5D-3E-E7-5B,802.11n/ac,-83,31,31.0,"5,200",40,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,12/03/2025 08:12:21,31,31,802.11d/e/i/r,No,17,1.6%,FR,,6
,00-27-E3-27-93-D4,802.11g/n,-88,20,20.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 10:51:11,20,20,802.11d/e/i/r,No,4,43.9%,FR,,8
,5C-5A-C7-0C-55-E4,802.11g/n,-70,67,67.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:38,67,67,802.11d/e/h/i/r,No,5,31.8%,FR,,5
,E4-AA-5D-3E-E7-54,802.11g/n,-65,80,80.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:43:00,80,80,802.11d/e/i/r,No,1,57.3%,FR,,6
,5C-5A-C7-0C-55-EB,802.11n/ac,-63,81,81.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:47,81,81,802.11d/e/h/i/r,No,22,2.7%,FR,,5
eduroam,00-27-E3-27-93-D1,802.11g/n,-86,24,24.0,"2,462",11,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 10:51:10,24,24,802.11d/e/i/r,No,4,43.9%,FR,,8
eduroam,E4-AA-5D-3E-E7-5E,802.11n/ac,-85,26,26.0,"5,200",40,230,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,12/03/2025 08:12:21,26,26,802.11d/e/i/r,No,17,1.2%,FR,,6
eduroam,5C-5A-C7-28-87-01,802.11g/n,-77,46,46.0,"2,412",1,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:11:42,46,46,802.11d/e/h/i/r,No,10,72.9%,FR,,2
eduroam,84-B2-61-15-36-3E,802.11n/ac,-84,29,29.0,"5,200",40,230,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:37:21,29,29,802.11d/e/i/r,No,6,1.2%,FR,,3
eduroam,84-B2-61-08-E9-32,802.11g/n,-66,78,78.0,"2,437",6,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:36:10,78,78,802.11d/e/i/r,No,0,63.5%,FR,,7
eduroam,5C-5A-C7-0C-55-E1,802.11g/n,-70,67,67.0,"2,462",11,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:38,67,67,802.11d/e/h/i/r,No,5,31.8%,FR,,5
eduroam,5C-5A-C7-28-87-0E,802.11n/ac,-86,24,24.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:11:51,24,24,802.11d/e/h/i/r,No,13,2.0%,FR,,2
eduroam,E4-AA-5D-3E-CE-E2,802.11g/n,-80,38,38.0,"2,412",1,208,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:32:55,38,38,802.11d/e/i/r,No,2,34.5%,FR,,4
eduroam,5C-5A-C7-28-72-0E,802.11n/ac,-85,26,26.0,"5,260",52,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:21:05,26,26,802.11d/e/h/i/r,No,18,7.8%,FR,,2
eduroam,5C-5A-C7-0C-55-EE,802.11n/ac,-69,70,70.0,"5,320",64,269,19,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:47,70,70,802.11d/e/h/i/r,No,22,2.0%,FR,,5
eduroam,E4-AA-5D-3E-E7-51,802.11g/n,-65,80,80.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:43:00,80,80,802.11d/e/i/r,No,1,57.3%,FR,,6
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-61,82,82.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,26/02/2025 10:30:08,82,82,802.11d/e/i/r,No,21,2.0%,FR,,7
eduroam,5C-5A-C7-28-72-01,802.11g/n,-85,26,26.0,"2,462",11,201,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:25:25,26,26,802.11d/e/h/i/r,No,5,40.0%,FR,,2
ras,62-16-73-1C-57-73,802.11g/n/ac,-93,11,11.0,"2,462",11,216,18,,,,WPA2-PSK,CCMP,390 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,13/03/2025 00:33:37,11,11,802.11d/i/y,No,,,FR,,
Redmi Note 13 Pro 5G,06-6E-E4-8E-0D-B2,802.11g/n/ac,-82,33,33.0,"2,462",11,223,19,,,,WPA2-PSK + WPA3-Personal,CCMP,780 Mbps,40 MHz,7 - 15,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,14/03/2025 06:32:34,33,33,802.11d/i/u/y,No,,,FR,,
UTT,5C-5A-C7-28-72-0F,802.11n/ac,-84,29,29.0,"5,260",52,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:21:05,29,29,802.11d/e/h,No,18,7.8%,FR,,2
UTT,5C-5A-C7-0C-55-EF,802.11n/ac,-69,70,70.0,"5,320",64,228,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:47,70,70,802.11d/e/h,No,22,2.0%,FR,,5
UTT,5C-5A-C7-36-31-41,802.11g/n,-89,18,18.0,"2,437",6,160,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:15:14,18,18,802.11d/e/h,No,17,14.9%,FR,,1
UTT,5C-5A-C7-28-87-00,802.11g/n,-78,43,43.0,"2,412",1,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:11:42,43,43,802.11d/e/h,No,10,72.9%,FR,,2
UTT,E4-AA-5D-3E-E7-5F,802.11n/ac,-81,35,35.0,"5,200",40,192,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,12/03/2025 08:12:21,35,35,802.11d/e,No,18,5.1%,FR,,6
UTT,5C-5A-C7-28-72-00,802.11g/n,-87,22,22.0,"2,462",11,160,16,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:25:25,22,22,802.11d/e/h,No,5,40.0%,FR,,2
UTT,5C-5A-C7-0C-55-E0,802.11g/n,-69,70,70.0,"2,462",11,154,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:12:38,70,70,802.11d/e/h,No,5,31.8%,FR,,5
UTT,84-B2-61-08-E9-31,802.11g/n,-66,78,78.0,"2,437",6,158,15,"Cisco Systems, Inc",,,,None,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:36:10,78,78,802.11d/e,No,0,63.5%,FR,,7
UTT,84-B2-61-15-36-3F,802.11n/ac,-83,31,31.0,"5,200",40,189,17,"Cisco Systems, Inc",,,,None,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 16:46:50,14/03/2025 16:46:50,1,18/07/2023 09:37:21,31,31,802.11d/e,No,7,1.6%,FR,,3
