SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-36-31-49,802.11g/n,-89,18,18.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:15:14,18,18,802.11d/e/h/i/r,No,13,8.6%,FR,,2
,84-B2-61-15-36-3B,802.11n/ac,-85,26,26.0,"5,200",40,243,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:37:21,26,26,802.11d/e/i/r,No,0,0.8%,FR,,5
,E4-AA-5D-3E-E7-54,802.11g/n,-75,53,53.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:43:01,53,53,802.11d/e/i/r,No,0,36.1%,FR,,1
,5C-5A-C7-28-72-04,802.11g/n,-90,16,16.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:25:25,16,16,802.11d/e/h/i/r,No,4,37.6%,FR,,3
,5C-5A-C7-28-87-04,802.11g/n,-70,67,67.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:11:43,67,67,802.11d/e/h/i/r,No,10,42.7%,FR,,3
,70-DB-98-EE-19-A4,802.11g/n,-90,16,16.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 10:47:07,16,16,802.11d/e/i/r,No,0,35.7%,FR,,6
,5C-5A-C7-28-72-44,802.11g/n,-87,22,22.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:14:10,22,22,802.11d/e/h/i/r,No,7,22.7%,FR,,3
,84-B2-61-15-36-34,802.11g/n,-83,31,31.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:37:38,31,31,802.11d/e/i/r,No,0,54.1%,FR,,5
,5C-5A-C7-0C-55-EB,802.11n/ac,-74,57,57.0,"5,320",64,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,58 - 66,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:12:47,57,57,802.11d/e/h/i/r,No,0,0.8%,FR,,9
,00-27-E3-27-84-A9,802.11g/n,-89,18,18.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 11:23:12,18,18,802.11d/e/i/r,No,0,38.0%,FR,,7
,AC-2A-A1-7F-2A-4A,802.11g/n/ax,-85,26,26.0,"2,462",11,265,22,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,14/03/2025 09:54:52,26,26,802.11d/e/h/i/r,No,1,3.5%,FR,,10
,E4-AA-5D-3E-CE-E9,802.11g/n,-89,18,18.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:32:55,18,18,802.11d/e/i/r,No,0,23.1%,FR,,4
,5C-5A-C7-0C-55-E4,802.11g/n,-67,75,75.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:12:38,75,75,802.11d/e/h/i/r,No,5,25.9%,FR,,9
eduroam,AC-2A-A1-7F-2A-42,802.11g/n/ax,-86,24,24.0,"2,462",11,252,21,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,14/03/2025 09:54:52,24,24,802.11d/e/h/i/r,No,0,3.5%,FR,,10
eduroam,5C-5A-C7-36-31-42,802.11g/n,-89,18,18.0,"2,437",6,195,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:15:14,18,18,802.11d/e/h/i/r,No,13,8.6%,FR,,2
eduroam,70-DB-98-EE-19-A1,802.11g/n,-89,18,18.0,"2,462",11,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 10:47:07,18,18,802.11d/e/i/r,No,0,35.7%,FR,,6
eduroam,84-B2-61-15-36-31,802.11g/n,-72,62,62.0,"2,412",1,199,17,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:37:38,62,62,802.11d/e/i/r,No,0,55.7%,FR,,5
eduroam,84-B2-61-08-E9-3D,802.11n/ac,-67,75,75.0,"5,240",48,224,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,1300 Mbps,40 MHz,42 - 50,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,26/02/2025 10:30:08,75,75,802.11d/e/i/r,No,1,0.0%,FR,,8
eduroam,E4-AA-5D-3E-CE-E2,802.11g/n,-86,24,24.0,"2,412",1,205,18,"Cisco Systems, Inc",,,WPA2-EAP,CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 19:10:21,14/03/2025 19:10:21,1,18/07/2023 09:32:55,24,24,802.11d/e/i/r,No,0,22.4%,FR,,4
