SSID,MAC Address,PHY Type,RSSI,Signal Quality,Average Signal Quality,Frequency,Channel,Information Size,Elements Count,Company,Router Model,Router Name,Security,Cipher,Maximum Speed,Channel Width,Channels Range,BSS Type,WPS Support,First Detection,Last Detection,Detection Count,Start Time,Minimum Signal Quality,Maximum Signal Quality,802.11 Standards,Connected,Stations Count,Channel Utilization,Country Code,Description,MAC Group
,5C-5A-C7-27-30-A9,802.11g/n,-90,16,16.0,"2,412",1,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/03/2024 19:11:39,16,16,802.11d/e/h/i/r,No,7,44.7%,FR,,3
,5C-5A-C7-0C-55-E4,802.11g/n,-70,67,67.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:12:38,67,67,802.11d/e/h/i/r,No,5,24.7%,FR,,10
,84-B2-61-15-36-34,802.11g/n,-81,35,35.0,"2,412",1,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:37:38,35,35,802.11d/e/i/r,No,0,56.9%,FR,,9
,AC-2A-A1-7E-E3-49,802.11g/n/ax,-83,31,31.0,"2,412",1,269,22,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,288 Mbps,20 MHz,1 - 3,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,12/03/2025 18:32:30,31,31,802.11d/e/h/i/r,No,0,38.4%,FR,,5
,00-27-E3-27-B4-49,802.11g/n,-77,46,46.0,"2,462",11,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,144 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:39:49,46,46,802.11d/e/i/r,No,1,21.2%,FR,,2
,5C-5A-C7-28-72-04,802.11g/n,-72,62,62.0,"2,462",11,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,9 - 13,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:25:25,62,62,802.11d/e/h/i/r,No,5,45.9%,FR,,6
,84-B2-61-08-E9-39,802.11g/n,-80,38,38.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:36:10,38,38,802.11d/e/i/r,No,0,38.4%,FR,,8
,00-27-E3-27-B4-46,802.11n/ac,-85,26,26.0,"5,200",40,246,20,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,867 Mbps,40 MHz,34 - 42,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,13/06/2024 08:58:35,26,26,802.11d/e/i/r,No,1,2.0%,FR,,2
,5C-5A-C7-27-33-2B,802.11n/ac,-84,29,29.0,"5,260",52,288,21,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,1300 Mbps,40 MHz,50 - 58,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:21:55,29,29,802.11d/e/h/i/r,No,10,2.7%,FR,,7
,84-B2-61-15-03-49,802.11g/n,-91,14,14.0,"2,437",6,218,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:32:19,14,14,802.11d/e/i/r,No,0,13.3%,FR,,4
,5C-5A-C7-27-33-24,802.11g/n,-87,22,22.0,"2,437",6,214,19,"Cisco Systems, Inc",,,WPA-PSK + WPA2-PSK,TKIP+CCMP,216 Mbps,20 MHz,4 - 8,Infrastructure,No,14/03/2025 18:38:38,14/03/2025 18:38:38,1,18/07/2023 09:21:59,22,22,802.11d/e/h/i/r,No,3,20.8%,FR,,7
