,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,88,0,2,0,0,0,0,0,0,1,0,0,2,0,0
C203,0,105,0,0,0,0,0,0,0,7,0,0,0,0,0
C204,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
C205,0,0,2,63,6,0,0,0,0,7,26,0,0,0,0
C206,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0
C207,0,0,0,0,0,85,0,0,0,0,0,29,0,0,0
C208,0,0,0,0,0,0,71,0,0,0,0,17,1,0,0
C210,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
Couloir_1,0,0,0,0,0,0,0,0,39,52,0,0,0,0,0
Couloir_2,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0
Couloir_3,0,0,0,0,0,0,0,0,0,2,85,0,0,0,0
Couloir_4,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0
Couloir_5,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
Escalier_B,0,0,0,0,0,0,0,0,0,10,0,0,0,82,0
Escalier_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
