,precision,recall,f1-score,support
0,1.0,1.0,1.0,93.0
1,1.0,1.0,1.0,112.0
2,1.0,1.0,1.0,85.0
3,1.0,1.0,1.0,104.0
4,1.0,1.0,1.0,92.0
5,1.0,0.9824561403508771,0.9911504424778761,114.0
6,0.978021978021978,1.0,0.9888888888888889,89.0
7,1.0,1.0,1.0,87.0
8,1.0,1.0,1.0,91.0
9,1.0,1.0,1.0,87.0
10,1.0,1.0,1.0,87.0
11,1.0,0.9893617021276596,0.9946524064171123,94.0
12,0.9893617021276596,1.0,0.9946524064171123,93.0
13,1.0,1.0,1.0,92.0
14,1.0,1.0,1.0,89.0
accuracy,0.9978708303761533,0.9978708303761533,0.9978708303761533,0.9978708303761533
macro avg,0.9978255786766426,0.9981211894985691,0.9979562762800659,1409.0
weighted avg,0.9979095772475717,0.9978708303761533,0.9978724354532215,1409.0
