,precision,recall,f1-score,support
0,0.9879518072289156,1.0,0.9939393939393939,82.0
1,0.9587628865979382,0.9489795918367347,0.9538461538461539,98.0
2,0.9367088607594937,0.9367088607594937,0.9367088607594937,79.0
3,1.0,1.0,1.0,91.0
4,1.0,1.0,1.0,83.0
5,0.9722222222222222,1.0,0.9859154929577465,105.0
6,1.0,0.9642857142857143,0.9818181818181818,84.0
7,1.0,1.0,1.0,81.0
8,0.9642857142857143,1.0,0.9818181818181818,81.0
9,1.0,0.9620253164556962,0.9806451612903225,79.0
10,1.0,1.0,1.0,79.0
11,1.0,1.0,1.0,82.0
12,1.0,1.0,1.0,78.0
13,1.0,1.0,1.0,76.0
14,1.0,1.0,1.0,74.0
accuracy,0.987220447284345,0.987220447284345,0.987220447284345,0.987220447284345
macro avg,0.9879954327396189,0.9874666322225092,0.9876460950952983,1252.0
weighted avg,0.9873492709823044,0.987220447284345,0.9871981213118628,1252.0
