,precision,recall,f1-score,support
0,1.0,0.524390243902439,0.688,82.0
1,0.7322834645669292,0.9489795918367347,0.8266666666666667,98.0
2,1.0,0.8481012658227848,0.9178082191780822,79.0
3,1.0,0.6483516483516484,0.7866666666666666,91.0
4,1.0,0.9397590361445783,0.968944099378882,83.0
5,0.9905660377358491,1.0,0.995260663507109,105.0
6,1.0,0.8333333333333334,0.9090909090909091,84.0
7,1.0,0.35802469135802467,0.5272727272727272,81.0
8,1.0,0.012345679012345678,0.024390243902439025,81.0
9,0.7383177570093458,1.0,0.8494623655913979,79.0
10,0.5374149659863946,1.0,0.6991150442477876,79.0
11,1.0,1.0,1.0,82.0
12,0.9512195121951219,1.0,0.975,78.0
13,1.0,0.8421052631578947,0.9142857142857143,76.0
14,0.3894736842105263,1.0,0.5606060606060606,74.0
accuracy,0.799520766773163,0.799520766773163,0.799520766773163,0.799520766773163
macro avg,0.8892850281136113,0.7970260501946522,0.7761712920262961,1252.0
weighted avg,0.8934283332182789,0.799520766773163,0.7818323437767134,1252.0
