,precision,recall,f1-score,support
0,1.0,1.0,1.0,74.0
1,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,66.0
3,1.0,1.0,1.0,81.0
4,1.0,1.0,1.0,74.0
5,1.0,1.0,1.0,91.0
6,1.0,1.0,1.0,75.0
7,1.0,1.0,1.0,74.0
8,1.0,0.9722222222222222,0.9859154929577465,72.0
9,0.9710144927536232,1.0,0.9852941176470589,67.0
10,1.0,1.0,1.0,63.0
11,1.0,1.0,1.0,75.0
12,1.0,1.0,1.0,66.0
13,1.0,1.0,1.0,67.0
14,1.0,1.0,1.0,66.0
accuracy,0.9981751824817519,0.9981751824817519,0.9981751824817519,0.9981751824817519
macro avg,0.9980676328502416,0.9981481481481481,0.9980806407069871,1096.0
weighted avg,0.9982280757431503,0.9981751824817519,0.998175749430028,1096.0
