,precision,recall,f1-score,support
0,1.0,1.0,1.0,74.0
1,1.0,1.0,1.0,85.0
2,1.0,1.0,1.0,66.0
3,1.0,0.9012345679012346,0.948051948051948,81.0
4,0.9487179487179487,1.0,0.9736842105263158,74.0
5,0.978494623655914,1.0,0.9891304347826086,91.0
6,0.974025974025974,1.0,0.9868421052631579,75.0
7,1.0,1.0,1.0,74.0
8,1.0,1.0,1.0,72.0
9,1.0,1.0,1.0,67.0
10,1.0,0.9682539682539683,0.9838709677419355,63.0
11,0.974025974025974,1.0,0.9868421052631579,75.0
12,1.0,1.0,1.0,66.0
13,1.0,1.0,1.0,67.0
14,1.0,1.0,1.0,66.0
accuracy,0.9908759124087592,0.9908759124087592,0.9908759124087592,0.9908759124087592
macro avg,0.9916843013617207,0.9912992357436802,0.9912281181086082,1096.0
weighted avg,0.9911971122825844,0.9908759124087592,0.9907535544649528,1096.0
