,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
