,precision,recall,f1-score,support
0,1.0,1.0,1.0,67.0
1,1.0,1.0,1.0,71.0
2,1.0,1.0,1.0,56.0
3,0.9852941176470589,1.0,0.9925925925925926,67.0
4,1.0,1.0,1.0,66.0
5,1.0,0.9864864864864865,0.9931972789115646,74.0
6,1.0,1.0,1.0,63.0
7,1.0,1.0,1.0,61.0
8,1.0,1.0,1.0,59.0
9,1.0,1.0,1.0,58.0
10,1.0,1.0,1.0,56.0
11,1.0,1.0,1.0,68.0
12,1.0,1.0,1.0,58.0
13,1.0,1.0,1.0,56.0
14,1.0,1.0,1.0,59.0
accuracy,0.9989350372736954,0.9989350372736954,0.9989350372736954,0.9989350372736954
macro avg,0.9990196078431371,0.9990990990990991,0.9990526581002771,939.0
weighted avg,0.9989506984902587,0.9989350372736954,0.9989353592578909,939.0
