,precision,recall,f1-score,support
0,1.0,1.0,1.0,63.0
1,1.0,1.0,1.0,56.0
2,1.0,1.0,1.0,46.0
3,1.0,1.0,1.0,55.0
4,1.0,1.0,1.0,53.0
5,1.0,1.0,1.0,63.0
6,1.0,1.0,1.0,51.0
7,1.0,1.0,1.0,53.0
8,1.0,1.0,1.0,47.0
9,0.98,1.0,0.98989898989899,49.0
10,1.0,1.0,1.0,48.0
11,1.0,1.0,1.0,53.0
12,1.0,1.0,1.0,44.0
13,1.0,0.9803921568627451,0.9900990099009901,51.0
14,1.0,1.0,1.0,51.0
accuracy,0.9987228607918263,0.9987228607918263,0.9987228607918263,0.9987228607918263
macro avg,0.9986666666666667,0.9986928104575163,0.9986665333199987,783.0
weighted avg,0.9987484035759897,0.9987228607918263,0.9987229885185198,783.0
