Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Precision,F1_Score
KNN_k10_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
KNN_k10_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
KNN_k32_wifi_rssi_data_50_clean,,,0.9961685823754789,0.9964031589647353,0.9961763525126219
KNN_k33_wifi_rssi_data_95_clean,,,0.9987228607918263,0.998745666849115,0.9987225320558654
KNN_kNone_wifi_rssi_data_100,,,,,
KNN_kNone_wifi_rssi_data_100_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_20,,,,,
KNN_kNone_wifi_rssi_data_20_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_50,,,,,
KNN_kNone_wifi_rssi_data_50_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_80,,,,,
KNN_kNone_wifi_rssi_data_80_ap_completed,,,,,
KNN_kNone_wifi_rssi_data_95,,,,,
KNN_kNone_wifi_rssi_data_95_ap_completed,,,,,
NN_wifi_rssi_data_100,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_100_ap_completed,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_100_clean,1.0,0.7713920817369093,0.7713920817369093,0.8272153851342489,0.7320966308153483
NN_wifi_rssi_data_20,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_20_ap_completed,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_20_clean,1.0,1.0,1.0,1.0,1.0
NN_wifi_rssi_data_50,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_50_ap_completed,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_50_clean,0.9987212276214834,0.9846743295019157,0.9846743295019157,0.9876892155015389,0.9844155844155843
NN_wifi_rssi_data_80,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_80_ap_completed,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_80_clean,1.0,0.9987228607918263,0.9987228607918263,0.9987484035759897,0.9987229885185198
NN_wifi_rssi_data_95,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_95_ap_completed,0.04731457800511509,0.08045977011494253,0.08045977011494253,0.006473774606949399,0.0119833700171191
NN_wifi_rssi_data_95_clean,1.0,0.9987228607918263,0.9987228607918263,0.9987465115179035,0.9987229702953166
RF_n10_wifi_rssi_data_100_ap_completed,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
RF_n10_wifi_rssi_data_50,,,0.9948914431673053,0.9950380888249872,0.9948917375590463
RF_n10_wifi_rssi_data_95,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_20_ap_completed,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_80_ap_completed,,,1.0,1.0,1.0
RF_n3_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
RF_n40_wifi_rssi_data_20,,,0.9974457215836526,0.997535345387735,0.997442984856778
RF_n50_wifi_rssi_data_80,,,0.9974457215836526,0.9974939326791179,0.9974342385026944
RF_n5_wifi_rssi_data_100,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_50_ap_completed,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_95_ap_completed,,,1.0,1.0,1.0
RF_n5_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_100_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_20,,,0.9923371647509579,0.9924003970237104,0.9923449190316139
SVM_wifi_rssi_data_20_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_20_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_50,,,0.9961685823754789,0.9962935595694217,0.9961707303940474
SVM_wifi_rssi_data_50_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_50_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_80,,,0.9987228607918263,0.998745666849115,0.9987235051143097
SVM_wifi_rssi_data_80_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_80_clean,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95_ap_completed,,,1.0,1.0,1.0
SVM_wifi_rssi_data_95_clean,,,1.0,1.0,1.0
