,precision,recall,f1-score,support
0,1.0,1.0,1.0,48.0
1,1.0,1.0,1.0,42.0
2,1.0,1.0,1.0,32.0
3,1.0,0.9333333333333333,0.9655172413793104,45.0
4,1.0,1.0,1.0,43.0
5,0.9814814814814815,1.0,0.9906542056074766,53.0
6,0.9411764705882353,1.0,0.9696969696969697,32.0
7,1.0,1.0,1.0,45.0
8,1.0,1.0,1.0,37.0
9,1.0,1.0,1.0,44.0
10,1.0,1.0,1.0,44.0
11,1.0,1.0,1.0,38.0
12,1.0,1.0,1.0,38.0
13,1.0,1.0,1.0,42.0
14,1.0,1.0,1.0,43.0
accuracy,0.9952076677316294,0.9952076677316294,0.9952076677316294,0.9952076677316294
macro avg,0.9948438634713145,0.9955555555555555,0.9950578944455838,626.0
weighted avg,0.9954251846283421,0.9952076677316294,0.9951809134018662,626.0
