,precision,recall,f1-score,support
0,0.06595744680851064,1.0,0.12375249500998003,31.0
1,0.0,0.0,0.0,30.0
2,0.0,0.0,0.0,25.0
3,0.0,0.0,0.0,30.0
4,0.0,0.0,0.0,31.0
5,0.0,0.0,0.0,45.0
6,0.0,0.0,0.0,27.0
7,0.0,0.0,0.0,32.0
8,0.0,0.0,0.0,29.0
9,0.0,0.0,0.0,30.0
10,0.0,0.0,0.0,38.0
11,0.0,0.0,0.0,32.0
12,0.0,0.0,0.0,28.0
13,0.0,0.0,0.0,32.0
14,0.0,0.0,0.0,30.0
accuracy,0.06595744680851064,0.06595744680851064,0.06595744680851064,0.06595744680851064
macro avg,0.0043971631205673755,0.06666666666666667,0.008250166333998669,470.0
weighted avg,0.00435038478949751,0.06595744680851064,0.008162398607041236,470.0
