,C201,C203,C204,C205,C206,C207,C208,C210,Couloir_1,Couloir_2,Couloir_3,Couloir_4,Couloir_5,Escalier_B,Escalier_D
C201,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C203,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C204,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C205,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C206,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C207,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C208,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C210,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Couloir_5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_B,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escalier_D,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
