,precision,recall,f1-score,support
0,0.054313099041533544,1.0,0.10303030303030303,17.0
1,0.0,0.0,0.0,23.0
2,0.0,0.0,0.0,16.0
3,0.0,0.0,0.0,20.0
4,0.0,0.0,0.0,22.0
5,0.0,0.0,0.0,23.0
6,0.0,0.0,0.0,20.0
7,0.0,0.0,0.0,23.0
8,0.0,0.0,0.0,19.0
9,0.0,0.0,0.0,25.0
10,0.0,0.0,0.0,31.0
11,0.0,0.0,0.0,22.0
12,0.0,0.0,0.0,12.0
13,0.0,0.0,0.0,23.0
14,0.0,0.0,0.0,17.0
accuracy,0.054313099041533544,0.054313099041533544,0.054313099041533544,0.054313099041533544
macro avg,0.0036208732694355695,0.06666666666666667,0.006868686868686869,313.0
weighted avg,0.0029499127274954322,0.054313099041533544,0.005595895052764062,313.0
