,precision,recall,f1-score,support
0,0.07006369426751592,1.0,0.13095238095238096,11.0
1,0.0,0.0,0.0,13.0
2,0.0,0.0,0.0,9.0
3,0.0,0.0,0.0,11.0
4,0.0,0.0,0.0,10.0
5,0.0,0.0,0.0,12.0
6,0.0,0.0,0.0,11.0
7,0.0,0.0,0.0,11.0
8,0.0,0.0,0.0,11.0
9,0.0,0.0,0.0,11.0
10,0.0,0.0,0.0,16.0
11,0.0,0.0,0.0,10.0
12,0.0,0.0,0.0,3.0
13,0.0,0.0,0.0,10.0
14,0.0,0.0,0.0,8.0
accuracy,0.07006369426751592,0.07006369426751592,0.07006369426751592,0.07006369426751592
macro avg,0.004670912951167728,0.06666666666666667,0.00873015873015873,157.0
weighted avg,0.004908921254411943,0.07006369426751592,0.009175007582650895,157.0
