MAC Address,SSID
5C-5A-C7-0C-55-E1,eduroam
5C-5A-C7-0C-55-EE,eduroam
84-B2-61-08-E9-32,eduroam
84-B2-61-08-E9-3D,eduroam
5C-5A-C7-0C-55-E0,UTT
84-B2-61-08-E9-3E,UTT
5C-5A-C7-27-30-A1,UTT
5C-5A-C7-0C-55-EF,UTT
84-B2-61-08-E9-31,UTT
5C-5A-C7-0C-55-E2,UTTetudiants
84-B2-61-08-E9-37,UTTetudiants
5C-5A-C7-0C-55-ED,UTTetudiants
84-B2-61-08-E9-38,UTTetudiants
5C-5A-C7-0C-55-E3,UTTpersonnels
5C-5A-C7-0C-55-EC,UTTpersonnels
5C-5A-C7-27-30-A2,eduroam
E4-AA-5D-3E-E7-50,UTT
E4-AA-5D-FD-23-A2,UTTetudiants
E4-AA-5D-FD-23-A1,eduroam
5C-5A-C7-27-30-A7,UTTetudiants
E4-AA-5D-3E-E7-52,UTTetudiants
70-DB-98-EE-25-33,UTTpersonnels
70-DB-98-EE-25-31,eduroam
E4-AA-5D-3E-E7-51,eduroam
84-B2-61-15-03-47,UTTetudiants
00-27-E3-27-93-D3,UTTpersonnels
E4-AA-5D-FD-23-A3,UTTpersonnels
E4-AA-5D-3E-E7-53,UTTpersonnels
E4-AA-5D-FD-23-A0,UTT
00-27-E3-27-93-D0,UTT
84-B2-61-1F-B6-B1,UTT
84-B2-61-15-36-3C,UTTpersonnels
70-DB-98-EE-19-A0,UTT
70-DB-98-EE-19-A3,UTTpersonnels
70-DB-98-EE-19-A1,eduroam
5C-5A-C7-28-72-01,eduroam
5C-5A-C7-28-72-03,UTTpersonnels
84-B2-61-15-03-41,UTT
5C-5A-C7-28-72-02,UTTetudiants
5C-5A-C7-28-72-00,UTT
00-27-E3-27-B4-48,UTTpersonnels
84-B2-61-15-03-42,eduroam
5C-5A-C7-27-30-A8,UTTpersonnels
70-DB-98-EE-19-A2,UTTetudiants
00-27-E3-27-B4-47,UTTetudiants
84-B2-61-1F-B6-B7,UTTetudiants
00-27-E3-27-B4-42,eduroam
84-B2-61-15-36-30,UTT
E4-AA-5D-3E-E7-5D,UTTetudiants
00-27-E3-27-B4-41,UTT
84-B2-61-15-03-48,UTTpersonnels
84-B2-61-15-36-31,eduroam
E4-AA-5D-3E-CE-E2,eduroam
E4-AA-5D-3E-E7-5C,UTTpersonnels
E4-AA-5D-3E-CE-E1,UTT
E4-AA-5D-3E-CE-E8,UTTpersonnels
E4-AA-5D-3E-CE-E7,UTTetudiants
E4-AA-5D-3E-E7-5F,UTT
5C-5A-C7-28-87-01,eduroam
E4-AA-5D-3E-E7-5E,eduroam
5C-5A-C7-28-87-02,UTTetudiants
5C-5A-C7-28-87-03,UTTpersonnels
00-27-E3-27-93-D1,eduroam
70-DB-98-EE-38-B1,UTT
84-B2-61-1F-B6-B8,UTTpersonnels
84-B2-61-1F-B6-B2,eduroam
00-27-E3-27-84-A8,UTTpersonnels
00-27-E3-27-93-D2,UTTetudiants
70-DB-98-EE-25-32,UTTetudiants
00-27-E3-07-B4-B8,UTTpersonnels
5C-5A-C7-28-87-00,UTT
84-B2-61-15-36-3E,eduroam
5C-5A-C7-27-33-21,eduroam
AC-2A-A1-7E-E3-42,eduroam
70-DB-98-EE-25-30,UTT
00-27-E3-07-A9-81,UTT
5C-5A-C7-27-33-20,UTT
5C-5A-C7-27-33-22,UTTetudiants
84-B2-61-15-36-3D,UTTetudiants
84-B2-61-15-36-32,UTTetudiants
AC-2A-A1-7E-E3-47,UTTetudiants
5C-5A-C7-27-33-23,UTTpersonnels
AC-2A-A1-7E-E3-48,UTTpersonnels
